DogId,Breed,Image,ImageNumber
6673,SIBERIAN HUSKY,4d924d95-de4c-43c0-a586-9fb19cadf905.jpg,1
6673,SIBERIAN HUSKY,851cc9ee-fc4d-430c-99f6-6425b8bbbe6b.jpg,2
6673,SIBERIAN HUSKY,7d055dfa-dc6f-4f2b-a7be-dc8bc666836f.jpg,3
6673,SIBERIAN HUSKY,f1f55f0a-c3d6-442b-b686-71b83b510dc5.jpg,4
6671,SIBERIAN HUSKY,a2e49a61-7c6a-46f0-a80e-9f32e596c1df.jpg,1
6671,SIBERIAN HUSKY,8efa32dc-1015-4b56-a69b-0088f92ee039.jpg,2
6671,SIBERIAN HUSKY,7eacee4e-2ffd-4d1b-9dc1-e8653c3013d2.jpg,3
6676,SIBERIAN HUSKY,d4d76566-a4de-4f20-8384-c50bce543072.jpg,1
6676,SIBERIAN HUSKY,86e84a82-b559-4a93-98f0-f0d62c612044.jpg,2
6676,SIBERIAN HUSKY,9399a147-5547-4fc1-afd3-48b74ee241e3.jpg,3
6674,SIBERIAN HUSKY,6c754a88-912c-4c84-9127-098694641106.jpg,1
6679,BULL ARAB,c49b3aef-0657-4f4f-a8ea-16fe406b49de.jpg,1
6679,BULL ARAB,691506d5-5f93-4964-b819-0d4e5e9ba0cc.jpg,2
6675,SIBERIAN HUSKY,8c192cca-2ff5-4b36-b26d-73274a36823f.jpg,1
6675,SIBERIAN HUSKY,b3ac0b44-122c-4ded-a9d8-31a19369e395.jpg,2
6675,SIBERIAN HUSKY,b712f003-a831-4f6d-b9bc-d937ae4aa4ed.jpg,3
6680,BULL ARAB,855dd833-596b-449b-9d08-6484f942843c.jpg,1
6680,BULL ARAB,b2b35d6d-46e9-4121-b81f-64ff648dd973.jpg,2
6681,BULL ARAB,0029c778-aa6d-45b3-ac7d-0a77d774a3a9.jpg,1
6681,BULL ARAB,ce304a77-87a6-48fb-89c7-282a929da417.jpg,2
6685,BULL ARAB,7e5f5913-3d57-4300-9231-ed8f20309312.jpg,1
6686,BULL ARAB,22a38f27-306c-4fd7-9b68-1bc2ee1d4d1f.jpg,1
6689,GERMAN SHEPHERD,208278c8-1ee3-42b9-8bf5-77d76feaf510.jpg,1
6689,GERMAN SHEPHERD,7da99225-736e-45b0-a8e4-4b76e134a2fe.jpg,2
6689,GERMAN SHEPHERD,060cc9da-420c-45d0-9171-512fd22673b5.jpg,3
6689,GERMAN SHEPHERD,fabeb442-cc5e-423e-8e7f-a33c5c5d02f8.jpg,4
6689,GERMAN SHEPHERD,ae7da58c-6cab-4f91-a6c9-f81d7c82427b.jpg,5
6687,BULL ARAB,b5aa1920-35f1-4465-b1ac-ebb37854e747.jpg,1
6687,BULL ARAB,fc0cbe71-b571-4a8f-b248-7becbfae6cb9.jpg,2
6687,BULL ARAB,b666c960-02c6-413a-85ae-7f49b65b833c.jpg,3
